field_id,days_since_harvest,residue_load_tons_per_ha,past_burn_history,days_until_next_sowing,distance_to_nearest_chc_km,avg_temp_c,wind_speed_kmph,risk_score
F0494,13,4.92,0,15,2.69,16.9,8.9,29
F0495,4,1.81,1,17,11.58,20.9,4.1,50
F0496,2,3.64,1,18,24.21,15.6,22.9,57
F0497,10,1.06,1,22,13.29,29.5,2.1,26
F0498,10,6.73,0,6,29.92,24.8,13.1,80
F0499,17,1.9,1,17,16.99,27.6,4.8,62
F0500,14,2.98,0,23,9.97,19.0,9.1,6
F0501,11,1.13,0,24,6.99,21.8,23.3,5
F0502,8,4.03,0,18,10.84,30.3,5.7,21
F0503,9,6.88,0,8,11.49,37.2,24.2,69
F0504,11,3.75,0,9,2.53,16.2,6.7,45
F0505,16,2.26,1,6,11.4,35.5,19.1,78
F0506,5,6.28,1,5,14.2,28.3,14.6,89
F0507,6,6.52,1,12,21.82,28.0,22.3,100
F0508,13,2.22,0,11,19.87,26.5,14.7,50
F0509,12,6.4,1,1,21.41,16.6,14.3,100
F0510,7,7.63,1,11,0.75,17.1,6.5,91
F0511,9,2.16,1,19,6.92,28.8,5.8,34
F0512,8,6.4,0,9,20.02,22.8,23.1,82
F0513,17,5.96,0,2,14.78,36.1,9.5,76
F0514,1,4.32,0,12,0.66,24.4,10.6,45
F0515,4,1.41,0,4,24.23,18.3,19.5,66
F0516,4,1.52,0,4,23.3,31.4,9.8,62
F0517,5,6.97,1,18,16.68,21.7,23.9,76
F0518,18,7.93,0,15,2.46,27.1,19.0,50
F0519,7,5.73,0,19,23.11,31.1,15.7,34
F0520,15,4.12,0,13,17.72,35.7,22.3,51
F0521,12,5.53,0,19,23.57,33.2,3.1,46
F0522,0,5.16,0,17,22.68,30.6,7.9,48
F0523,19,3.69,0,6,24.19,30.6,12.7,70
F0524,16,1.46,0,16,15.78,36.8,7.2,30
F0525,6,6.75,1,24,4.64,21.8,19.1,62
F0526,12,3.6,1,12,20.3,15.0,23.1,71
F0527,3,6.73,0,19,18.8,21.3,11.7,45
F0528,3,2.77,0,5,22.4,20.0,9.9,64
F0529,5,1.01,1,17,5.51,30.2,24.1,45
F0530,18,2.11,0,23,6.25,29.6,12.2,8
F0531,11,4.28,0,1,26.77,28.6,13.2,90
F0532,6,7.61,1,24,22.62,15.4,10.1,84
F0533,9,1.72,0,23,27.29,31.8,22.9,19
F0534,18,6.98,1,10,22.88,22.4,15.1,100
F0535,6,4.69,0,15,18.12,30.3,19.5,47
F0536,2,6.78,0,23,19.8,27.8,20.7,41
F0537,12,3.09,0,21,26.73,22.9,9.9,41
F0538,12,6.88,1,21,17.57,18.1,12.0,67
F0539,17,6.41,0,11,19.16,17.2,21.5,61
F0540,19,2.61,0,13,5.12,34.1,10.4,33
F0541,7,1.92,1,5,14.48,36.1,20.3,77
F0542,8,7.08,0,1,21.63,29.9,23.6,100
F0543,6,7.74,0,24,8.49,17.4,16.3,30
F0544,0,1.22,1,12,6.47,24.2,19.1,65
F0545,2,6.12,0,11,9.76,31.8,20.5,54
F0546,12,7.37,1,17,7.62,32.9,21.4,58
F0547,16,7.0,1,4,6.84,17.7,11.1,100
F0548,0,7.75,1,15,13.03,15.0,3.2,67
F0549,5,6.32,0,9,27.28,31.4,11.2,72
F0550,5,4.1,1,21,15.46,23.2,17.5,52
F0551,11,3.18,0,20,6.04,20.9,12.4,23
F0552,12,3.25,1,19,2.77,15.3,19.2,38
F0553,12,6.07,0,19,21.04,27.4,10.2,46
F0554,14,6.22,0,12,11.79,34.6,16.6,47
F0555,15,2.4,0,5,24.74,37.0,6.3,64
F0556,10,7.08,1,10,19.96,28.0,19.2,99
F0557,4,6.0,1,17,23.99,26.8,14.6,75
F0558,3,4.94,0,5,8.52,17.0,6.7,68
F0559,2,4.3,0,22,20.92,27.6,8.7,19
F0560,18,4.8,1,16,8.29,23.7,19.2,50
F0561,19,2.11,0,7,28.2,29.0,13.1,67
F0562,17,2.43,0,9,19.27,23.9,7.0,53
F0563,14,1.64,1,3,10.07,20.5,24.2,84
F0564,8,2.08,0,15,8.45,17.2,18.4,17
F0565,16,4.18,1,16,6.13,22.2,24.0,57
F0566,13,4.71,0,18,20.99,17.2,11.8,44
F0567,14,1.13,0,14,6.95,19.1,12.9,26
F0568,0,6.58,0,3,18.06,37.7,22.7,97
F0569,2,3.06,1,12,8.31,25.2,14.1,69
F0570,15,7.38,0,9,20.03,27.2,18.3,72
F0571,10,7.77,1,7,24.54,35.1,7.8,100
F0572,11,2.3,0,9,23.45,37.9,12.3,62
F0573,9,4.23,1,13,22.95,28.4,4.8,84
F0574,15,1.01,0,18,6.04,33.7,6.7,7
F0575,7,5.19,0,5,3.11,22.5,2.0,62
F0576,5,5.25,1,13,21.12,22.0,2.9,79
F0577,11,2.73,0,4,11.37,24.3,24.5,51
F0578,7,4.91,0,2,13.25,30.5,7.6,67
F0579,3,2.58,1,16,1.42,30.7,17.3,41
F0580,7,2.13,0,9,8.16,22.3,21.3,40
F0581,17,5.56,1,9,1.49,18.1,14.7,82
F0582,4,3.28,0,6,26.44,29.5,5.5,72
F0583,8,5.13,1,11,7.68,18.0,18.7,70
F0584,3,4.03,0,22,16.94,28.3,15.8,29
F0585,16,7.89,0,24,1.65,30.9,18.8,32
F0586,8,2.05,1,22,20.17,31.1,19.7,41
F0587,0,4.25,1,1,10.03,32.3,24.4,100
F0588,19,5.76,0,4,26.99,35.1,15.2,92
F0589,12,3.77,0,13,26.7,26.5,9.9,48
F0590,15,7.82,1,23,10.1,31.8,16.9,54
F0591,12,6.05,0,13,27.08,29.2,3.6,66
F0592,13,5.6,1,13,29.89,19.3,22.6,83
F0593,2,6.3,1,2,24.85,15.6,4.7,100
F0594,5,7.67,0,9,25.42,21.5,9.5,78
F0595,17,7.35,0,24,7.85,25.2,20.8,37
F0596,18,6.07,1,8,17.51,29.2,15.7,100
F0597,4,6.24,0,7,2.48,34.5,11.1,67
F0598,14,2.02,0,4,3.3,19.5,12.9,59
F0599,1,1.72,1,18,29.97,17.9,21.7,50
F0600,9,5.0,0,3,10.14,37.2,9.8,69
F0601,17,1.13,1,6,22.57,17.5,22.0,90
F0602,12,4.38,0,12,24.3,26.0,4.0,57
F0603,4,2.47,0,12,25.81,28.5,19.9,43
F0604,0,3.42,0,21,29.93,27.5,21.5,38
F0605,0,6.43,0,8,7.62,17.0,6.2,67
F0606,17,7.59,0,22,1.69,16.3,11.9,31
F0607,14,1.51,0,22,12.63,17.4,5.8,5
F0608,16,4.74,1,1,4.34,28.5,18.3,100
F0609,10,7.18,0,4,1.16,27.5,14.3,79
F0610,16,1.58,0,21,11.13,20.4,16.6,0
F0611,12,6.77,0,11,23.62,29.7,6.5,80
F0612,0,3.5,0,3,17.2,33.9,6.9,76
F0613,1,3.25,0,13,9.73,16.0,3.0,34
F0614,8,7.84,0,17,19.8,26.5,9.4,56
F0615,2,2.41,0,22,7.34,30.9,14.9,20
F0616,0,5.85,0,22,0.92,20.8,21.7,23
F0617,15,6.75,0,10,23.05,22.1,17.3,80
F0618,5,1.29,1,21,18.9,29.1,12.0,47
F0619,16,5.69,0,12,22.99,35.7,23.9,57
F0620,4,7.66,0,15,1.65,33.6,18.5,46
F0621,4,1.87,1,21,25.2,28.4,23.4,47
F0622,5,7.27,0,10,18.78,31.8,14.1,69
F0623,2,5.16,1,14,17.12,23.4,8.0,80
F0624,4,5.32,0,13,18.93,29.7,3.2,57
F0625,4,5.29,0,5,26.0,25.7,18.7,84
F0626,9,3.09,0,6,17.81,19.4,4.8,70
F0627,9,7.55,0,24,17.64,31.1,9.0,42
F0628,18,7.63,1,2,29.73,27.8,14.2,100
F0629,16,5.38,0,22,22.82,23.2,15.0,33
F0630,13,6.48,1,17,13.55,36.0,15.8,44
F0631,8,5.29,0,4,21.37,15.5,5.8,85
F0632,13,4.39,0,14,11.98,22.3,10.7,33
F0633,0,5.63,0,10,7.25,16.3,16.2,54
F0634,18,4.87,0,3,18.11,32.6,24.3,95
F0635,12,5.18,0,3,27.88,31.1,18.7,97
F0636,12,6.49,1,15,27.91,22.6,23.2,80
F0637,3,4.37,1,6,10.59,30.5,19.5,80
F0638,0,1.29,0,17,16.07,24.1,15.6,32
F0639,16,2.15,1,12,6.74,32.4,6.4,56
F0640,7,4.07,1,22,29.87,25.4,17.3,58
F0641,1,6.07,1,20,29.44,24.5,16.3,61
F0642,7,5.15,0,24,19.66,36.5,15.9,37
F0643,6,5.55,1,11,24.23,20.8,13.3,85
F0644,1,4.35,0,4,21.6,17.8,14.2,86
F0645,2,5.31,1,6,18.0,28.4,9.7,100
F0646,17,3.3,0,1,2.07,37.3,13.9,74
F0647,11,4.29,0,20,13.92,23.7,6.5,11
F0648,0,6.21,1,23,20.41,16.4,20.5,69
F0649,11,7.1,0,16,20.49,22.8,6.3,51
F0650,4,4.04,1,15,11.51,26.6,4.0,57
F0651,16,1.31,1,17,28.28,18.7,12.0,59
F0652,15,2.13,1,8,5.44,30.1,17.1,69
F0653,14,1.15,0,12,15.26,37.9,12.1,38
F0654,14,5.57,1,22,20.88,25.4,8.4,65
F0655,4,3.33,0,21,21.07,23.2,14.8,24
F0656,13,4.8,0,10,19.63,24.2,10.0,62
F0657,1,4.45,1,15,8.62,17.6,23.5,59
F0658,10,1.57,0,9,5.11,35.3,23.2,46
F0659,18,3.82,0,2,19.26,24.5,13.6,84
F0660,6,2.54,1,5,18.18,23.9,9.5,95
F0661,5,3.93,0,6,5.79,30.2,19.0,61
F0662,1,2.43,0,7,21.3,25.2,2.8,64
F0663,5,6.88,1,21,13.93,29.9,12.9,56
F0664,17,2.22,0,1,20.2,16.4,9.7,86
F0665,1,7.73,1,23,25.2,33.7,23.2,69
F0666,17,3.91,1,7,5.51,36.6,2.3,63
F0667,14,6.92,1,20,1.06,29.9,14.7,49
F0668,18,5.4,1,12,23.48,37.0,19.0,92
F0669,1,6.15,0,16,18.49,18.5,13.2,51
F0670,19,6.37,0,16,21.14,26.0,4.0,51
F0671,5,4.53,1,11,25.23,28.8,24.4,91
F0672,0,4.8,1,21,24.18,28.4,13.9,59
F0673,14,4.6,0,4,28.85,24.2,16.1,71
F0674,9,5.12,0,13,16.31,22.8,7.4,49
F0675,18,1.21,0,7,14.91,17.9,13.1,46
F0676,16,3.77,0,4,12.36,24.0,11.9,63
F0677,4,5.24,1,15,5.03,18.7,3.7,68
F0678,3,5.18,0,19,17.39,31.9,4.4,35
F0679,9,6.55,1,9,8.67,19.8,21.3,83
F0680,16,5.59,1,11,27.68,16.3,7.5,85
F0681,9,7.94,0,8,17.7,27.7,6.5,80
F0682,16,2.99,1,1,17.99,28.7,13.6,100
F0683,19,3.51,0,23,10.97,35.1,19.7,12
F0684,4,3.69,0,24,2.03,28.3,3.4,15
F0685,1,4.26,1,8,1.44,22.9,15.3,77
F0686,5,6.85,1,13,12.99,33.5,4.7,84
F0687,1,2.65,1,22,2.99,27.4,2.8,45
F0688,12,6.43,0,4,18.4,16.8,3.2,85
F0689,10,3.84,0,8,26.49,28.0,21.2,56
F0690,10,5.21,1,3,26.55,35.9,4.7,100
F0691,15,5.43,0,9,19.94,24.1,3.0,72
F0692,10,3.61,0,2,6.73,21.8,12.1,64
F0693,18,4.59,0,2,25.96,18.3,21.4,83
F0694,14,3.89,1,13,26.64,18.5,8.0,84
F0695,15,1.48,0,15,6.3,25.0,11.7,20
F0696,10,4.06,1,23,22.25,28.7,2.9,60
F0697,15,1.68,1,12,8.95,16.9,12.3,51
F0698,7,3.84,0,4,24.18,36.6,15.3,78
F0699,3,5.15,0,8,29.92,32.4,15.1,70
F0700,7,5.06,0,9,1.39,28.5,9.6,50
F0701,3,5.64,1,23,26.97,34.1,9.3,68
F0702,2,1.67,0,5,18.87,16.8,4.5,60
F0703,2,5.56,0,24,29.21,26.0,10.4,39
F0704,17,3.19,0,20,14.22,29.5,4.3,11
F0705,18,3.79,1,18,25.5,34.1,19.6,63
F0706,18,7.01,0,11,2.34,33.0,24.2,53
F0707,4,1.06,1,15,10.39,21.4,24.3,49
F0708,17,5.12,1,22,2.48,36.6,21.9,41
F0709,9,5.19,0,9,29.27,17.9,15.8,75
F0710,5,3.78,1,17,24.6,35.1,18.1,64
F0711,0,2.66,0,12,25.65,37.3,8.6,43
F0712,4,2.64,1,7,28.17,19.1,16.5,93
F0713,8,7.19,1,10,3.01,31.6,12.5,83
F0714,11,4.09,1,10,11.88,15.9,13.1,63
F0715,13,3.32,0,13,2.6,24.3,19.4,36
F0716,1,4.14,0,19,6.72,26.9,8.5,25
F0717,16,5.69,0,11,7.27,28.4,9.3,56
F0718,13,2.02,0,13,14.34,36.5,23.3,27
F0719,12,4.15,0,21,8.42,30.5,3.3,17
F0720,8,5.12,0,8,3.48,26.1,13.2,57
F0721,14,7.64,0,8,5.44,33.6,23.0,74
F0722,14,2.77,0,4,4.84,36.9,16.0,55
F0723,10,3.51,1,15,29.21,15.5,14.6,67
F0724,15,3.66,0,11,22.9,37.6,7.7,52
F0725,16,5.24,0,11,29.05,17.0,9.9,56
F0726,3,3.5,0,1,13.47,33.7,21.6,72
F0727,0,4.73,0,17,8.71,21.4,14.9,36
F0728,7,6.47,1,15,24.05,18.0,13.8,80
F0729,16,5.94,0,20,10.12,25.1,4.3,19
F0730,2,4.12,1,6,9.33,29.8,2.4,84
F0731,19,7.05,1,24,7.36,23.8,24.2,56
F0732,14,4.91,1,22,4.33,16.3,10.7,44
F0733,14,4.78,1,15,8.07,28.8,15.9,66
F0734,13,1.24,1,9,10.98,35.8,3.8,59
F0735,13,7.91,1,14,20.38,23.8,17.7,88
F0736,1,1.86,1,18,2.35,20.0,23.4,40
F0737,12,2.62,0,17,6.71,25.2,15.2,21
F0738,13,1.36,1,18,24.37,16.1,4.9,52
F0739,18,5.48,0,5,4.83,33.9,15.4,61
F0740,6,2.57,1,20,10.61,34.0,19.6,47
F0741,2,2.26,0,20,26.01,28.5,11.3,23
F0742,14,1.62,0,9,5.07,23.1,22.2,40
F0743,13,1.72,0,11,2.94,33.4,16.9,37
F0744,10,5.09,0,24,14.79,27.8,22.7,17
F0745,14,5.82,0,22,9.42,34.0,16.3,24
F0746,12,3.78,0,1,17.12,29.5,5.0,84
F0747,17,4.36,0,18,24.21,33.0,9.1,41
F0748,5,5.8,0,6,4.55,28.8,6.6,64
F0749,2,1.12,1,2,17.63,24.5,22.9,100
F0750,18,3.26,0,15,15.41,37.0,19.5,38
F0751,14,7.81,0,21,4.75,27.4,17.6,27
F0752,4,5.06,1,14,18.91,28.9,8.9,71
F0753,9,2.78,0,5,8.57,20.1,6.2,53
F0754,6,4.65,0,6,14.89,29.4,19.4,48
F0755,16,3.4,1,6,2.93,28.1,12.9,79
F0756,6,4.73,1,22,14.06,19.3,7.2,41
F0757,11,1.88,0,18,9.54,16.4,16.2,14
F0758,16,1.93,0,14,24.76,28.9,2.9,41
F0759,12,2.0,1,10,2.18,32.6,9.5,69
F0760,19,7.58,1,14,12.85,27.0,12.8,86
F0761,3,6.13,0,13,14.02,20.2,5.4,51
F0762,9,2.14,1,3,21.89,30.3,24.6,97
F0763,2,2.32,0,6,17.44,16.8,6.8,64
F0764,8,6.12,0,8,20.18,25.2,5.0,80
F0765,12,2.09,0,12,23.42,18.8,6.7,39
F0766,17,2.64,1,13,25.93,19.2,19.7,70
F0767,14,7.74,0,11,9.76,19.7,11.8,57
F0768,3,2.79,1,12,16.37,23.9,15.0,78
F0769,14,5.63,0,1,25.28,16.2,2.5,98
F0770,1,7.85,0,17,29.69,24.1,2.8,52
F0771,14,3.62,0,16,26.74,26.8,12.3,39
F0772,7,1.12,1,11,11.46,26.1,20.8,59
F0773,7,2.71,0,13,6.26,23.8,22.4,28
F0774,16,6.82,0,18,14.94,34.3,4.0,39
F0775,11,7.05,1,11,22.38,18.3,14.4,98
F0776,18,6.38,0,12,15.03,26.6,23.0,65
F0777,9,1.79,1,6,14.75,16.4,10.9,76
F0778,8,6.57,0,9,25.23,16.6,21.1,72
F0779,4,7.43,1,16,11.16,28.2,5.1,64
F0780,5,5.2,0,4,25.86,28.0,23.5,82
F0781,19,7.59,1,3,12.5,35.2,19.3,100
F0782,1,6.79,0,16,10.18,27.8,23.7,40
F0783,12,5.67,0,24,13.89,37.1,17.6,21
F0784,5,5.04,0,12,22.99,16.1,10.4,63
F0785,4,3.44,0,11,4.22,17.3,23.6,40
F0786,0,2.12,0,5,6.29,16.0,8.3,50
F0787,5,5.23,1,18,28.57,19.3,9.6,68
F0788,5,3.23,0,19,5.68,27.4,18.1,11
F0789,15,7.07,1,23,17.25,29.8,19.6,60
F0790,3,7.95,1,23,17.59,16.0,23.4,72
F0791,10,6.27,1,6,14.94,36.8,6.7,89
F0792,8,1.63,0,22,19.52,34.4,20.4,20
F0793,2,3.02,0,18,7.28,21.8,19.0,13
F0794,18,1.76,1,6,16.8,16.8,3.5,95
F0795,7,5.55,1,4,11.48,18.9,10.9,92
F0796,4,6.36,0,12,20.02,17.9,8.5,62
F0797,3,7.48,0,19,4.67,17.8,9.0,35
F0798,5,4.07,0,2,17.34,26.9,24.6,78
F0799,1,7.31,1,17,5.97,20.7,16.8,56
